Geographic Area,Daily Cases,Total  Confirmed Cases,Recovered by Region,Still infectious by Region,Number of Deaths,Date
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,11,1042,999,35,8,"November 20, 2020"
FEDERAL PRISON IN LOMPOC,1,1027,1023,1,3,"November 20, 2020"
CITY OF SANTA MARIA,18,4397,4242,83,72,"November 20, 2020"
COMMUNITY OF ORCUTT,2,453,426,21,6,"November 20, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,494,477,10,7,"November 20, 2020"
Out of County,,,0,0,0,"November 20, 2020"
Pending,6,418,401,17,,"November 20, 2020"
Total** ,74,10839,10393,313,133,"November 20, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",2,256,240,9,7,"November 19, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,10,1433,1363,56,14,"November 19, 2020"
CITY OF GOLETA,4,326,306,15,5,"November 19, 2020"
COMMUNITY OF ISLA VISTA,8,491,461,29,1,"November 19, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,3,258,240,15,3,"November 19, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",5,210,186,17,7,"November 19, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,5,1031,994,29,8,"November 19, 2020"
FEDERAL PRISON IN LOMPOC,0,1026,1023,0,3,"November 19, 2020"
CITY OF SANTA MARIA,14,4380,4226,82,72,"November 19, 2020"
COMMUNITY OF ORCUTT,8,451,425,20,6,"November 19, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",4,494,474,13,7,"November 19, 2020"
Out of County,,,0,0,0,"November 19, 2020"
Pending,4,412,397,15,,"November 19, 2020"
Total** ,67,10768,10335,300,133,"November 19, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",2,254,233,14,7,"November 18, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,21,1423,1348,61,14,"November 18, 2020"
CITY OF GOLETA,2,322,302,15,5,"November 18, 2020"
COMMUNITY OF ISLA VISTA,9,483,458,24,1,"November 18, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,4,255,239,13,3,"November 18, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",6,205,185,13,7,"November 18, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,12,1026,987,31,8,"November 18, 2020"
FEDERAL PRISON IN LOMPOC,0,1026,1023,0,3,"November 18, 2020"
CITY OF SANTA MARIA,24,4366,4208,86,72,"November 18, 2020"
COMMUNITY OF ORCUTT,5,443,418,19,6,"November 18, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,490,473,10,7,"November 18, 2020"
Out of County,,,0,0,0,"November 18, 2020"
Pending,6,409,394,15,,"November 18, 2020"
Total** ,91,10702,10268,301,133,"November 18, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",3,252,229,16,7,"November 17, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,7,1402,1340,48,14,"November 17, 2020"
CITY OF GOLETA,1,320,300,15,5,"November 17, 2020"
COMMUNITY OF ISLA VISTA,3,474,457,16,1,"November 17, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,251,238,10,3,"November 17, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,199,184,8,7,"November 17, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,4,1014,985,21,8,"November 17, 2020"
FEDERAL PRISON IN LOMPOC,0,1026,1023,0,3,"November 17, 2020"
CITY OF SANTA MARIA,12,4343,4192,79,72,"November 17, 2020"
COMMUNITY OF ORCUTT,2,438,414,18,6,"November 17, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,490,473,10,7,"November 17, 2020"
Out of County,,,0,0,0,"November 17, 2020"
Pending,2,403,389,14,,"November 17, 2020"
Total**,36,10612,10224,255,133,"November 17, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",4,250,229,14,7,"November 16, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,17,1395,1337,44,14,"November 16, 2020"
CITY OF GOLETA,0,319,298,16,5,"November 16, 2020"
COMMUNITY OF ISLA VISTA,6,471,456,14,1,"November 16, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,250,236,11,3,"November 16, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",2,198,182,9,7,"November 16, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,5,1010,981,21,8,"November 16, 2020"
FEDERAL PRISON IN LOMPOC,0,1026,1023,0,3,"November 16, 2020"
CITY OF SANTA MARIA,13,4331,4180,79,72,"November 16, 2020"
COMMUNITY OF ORCUTT,2,436,410,20,6,"November 16, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,490,472,11,7,"November 16, 2020"
Out of County,,,0,0,0,"November 16, 2020"
Pending,1,401,385,16,,"November 16, 2020"
Total**,53,10577,10189,255,133,"November 16, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",7,243,217,19,7,"November 13, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,10,1364,1313,37,14,"November 13, 2020"
CITY OF GOLETA,2,309,291,14,4,"November 13, 2020"
COMMUNITY OF ISLA VISTA,5,464,449,14,1,"November 13, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,9,247,226,19,2,"November 13, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",4,192,180,5,7,"November 13, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,8,1000,968,24,8,"November 13, 2020"
FEDERAL PRISON IN LOMPOC,0,1026,1023,0,3,"November 13, 2020"
CITY OF SANTA MARIA,16,4273,4159,42,72,"November 13, 2020"
COMMUNITY OF ORCUTT,5,422,399,17,6,"November 13, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",1,480,467,6,7,"November 13, 2020"
Out of County,,,0,0,0,"November 13, 2020"
Pending,9,395,376,19,,"November 13, 2020"
Total**,76,10415,10068,216,131,"November 13, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",3,236,215,14,7,"November 12, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,8,1354,1310,30,14,"November 12, 2020"
CITY OF GOLETA,6,307,290,13,4,"November 12, 2020"
COMMUNITY OF ISLA VISTA,5,459,447,11,1,"November 12, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,5,238,225,11,2,"November 12, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,188,180,1,7,"November 12, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,6,992,964,20,8,"November 12, 2020"
FEDERAL PRISON IN LOMPOC,0,1026,1023,0,3,"November 12, 2020"
CITY OF SANTA MARIA,10,4257,4149,36,72,"November 12, 2020"
COMMUNITY OF ORCUTT,3,417,393,18,6,"November 12, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",1,479,466,6,7,"November 12, 2020"
Out of County,,,0,0,0,"November 12, 2020"
Pending,0,386,374,12,,"November 12, 2020"
Total**,47,10339,10036,172,131,"November 12, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,231,212,12,7,"November 10, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,2,1337,1294,29,14,"November 10, 2020"
CITY OF GOLETA,4,300,283,13,4,"November 10, 2020"
COMMUNITY OF ISLA VISTA,4,453,430,22,1,"November 10, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,234,223,9,2,"November 10, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,187,179,1,7,"November 10, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,1,980,960,12,8,"November 10, 2020"
FEDERAL PRISON IN LOMPOC,0,1026,1023,0,3,"November 10, 2020"
CITY OF SANTA MARIA,7,4234,4123,39,72,"November 10, 2020"
COMMUNITY OF ORCUTT,9,409,384,19,6,"November 10, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",1,476,466,3,7,"November 10, 2020"
Out of County,,,0,0,0,"November 10, 2020"
Pending,3,393,380,13,,"November 10, 2020"
Total**,32,10260,9957,172,131,"November 10, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,230,212,11,7,"November 9, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,8,1335,1290,31,14,"November 9, 2020"
CITY OF GOLETA,4,296,282,10,4,"November 9, 2020"
COMMUNITY OF ISLA VISTA,5,449,428,20,1,"November 9, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,3,234,223,9,2,"November 9, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,187,179,1,7,"November 9, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3,979,959,12,8,"November 9, 2020"
FEDERAL PRISON IN LOMPOC,0,1026,1023,0,3,"November 9, 2020"
CITY OF SANTA MARIA,7,4226,4118,36,72,"November 9, 2020"
COMMUNITY OF ORCUTT,3,400,380,14,6,"November 9, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,475,462,6,7,"November 9, 2020"
Out of County,,,0,0,0,"November 9, 2020"
Pending,8,393,379,14,,"November 9, 2020"
Total**,41,10230,9935,164,131,"November 9, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",3,227,210,10,7,"November 6, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,7,1318,1274,30,14,"November 6, 2020"
CITY OF GOLETA,0,290,280,6,4,"November 6, 2020"
COMMUNITY OF ISLA VISTA,2,429,417,11,1,"November 6, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,227,219,6,2,"November 6, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,187,177,3,7,"November 6, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,4,968,944,16,8,"November 6, 2020"
FEDERAL PRISON IN LOMPOC,0,1026,1023,0,3,"November 6, 2020"
CITY OF SANTA MARIA,13,4210,4109,29,72,"November 6, 2020"
COMMUNITY OF ORCUTT,5,392,375,11,6,"November 6, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",3,469,457,5,7,"November 6, 2020"
Out of County,,,0,0,0,"November 6, 2020"
Pending,1,385,376,9,,"November 6, 2020"
Total**,39,10128,9861,136,131,"November 6, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",4,224,209,8,7,"November 5, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,10,1311,1268,29,14,"November 5, 2020"
CITY OF GOLETA,4,290,280,6,4,"November 5, 2020"
COMMUNITY OF ISLA VISTA,4,427,409,17,1,"November 5, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,2,226,219,5,2,"November 5, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,187,177,3,7,"November 5, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,2,964,939,17,8,"November 5, 2020"
FEDERAL PRISON IN LOMPOC,0,1026,1023,0,3,"November 5, 2020"
CITY OF SANTA MARIA,12,4197,4098,27,72,"November 5, 2020"
COMMUNITY OF ORCUTT,5,387,375,6,6,"November 5, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,466,456,4,6,"November 5, 2020"
Out of County,,,0,0,0,"November 5, 2020"
Pending,3,384,376,8,,"November 5, 2020"
Total**,47,10089,9829,130,130,"November 5, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",3,220,208,5,7,"November 4, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,10,1301,1262,25,14,"November 4, 2020"
CITY OF GOLETA,1,286,280,2,4,"November 4, 2020"
COMMUNITY OF ISLA VISTA,2,423,404,18,1,"November 4, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,224,218,4,2,"November 4, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",2,186,174,5,7,"November 4, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3,962,935,19,8,"November 4, 2020"
FEDERAL PRISON IN LOMPOC,0,1026,1023,0,3,"November 4, 2020"
CITY OF SANTA MARIA,3,4185,4096,17,72,"November 4, 2020"
COMMUNITY OF ORCUTT,1,382,374,2,6,"November 4, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",1,466,456,4,6,"November 4, 2020"
Out of County,,,0,0,0,"November 4, 2020"
Pending,1,381,374,7,,"November 4, 2020"
Total**,28,10042,9804,108,130,"November 4, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,218,208,3,7,"November 3, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,2,1291,1260,18,13,"November 3, 2020"
CITY OF GOLETA,0,285,279,2,4,"November 3, 2020"
COMMUNITY OF ISLA VISTA,9,421,399,21,1,"November 3, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,223,218,3,2,"November 3, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,185,175,3,7,"November 3, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,8,959,934,17,8,"November 3, 2020"
FEDERAL PRISON IN LOMPOC,0,1026,1023,0,3,"November 3, 2020"
CITY OF SANTA MARIA,1,4183,4088,23,72,"November 3, 2020"
COMMUNITY OF ORCUTT,0,381,370,5,6,"November 3, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,464,455,3,6,"November 3, 2020"
Out of County,,,0,0,0,"November 3, 2020"
Pending,2,380,373,7,,"November 3, 2020"
Total**,24,10016,9782,105,129,"November 3, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,217,208,2,7,"November 2, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,4,1289,1259,17,13,"November 2, 2020"
CITY OF GOLETA,0,285,278,3,4,"November 2, 2020"
COMMUNITY OF ISLA VISTA,6,412,391,20,1,"November 2, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,223,218,3,2,"November 2, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,184,175,2,7,"November 2, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,2,951,929,14,8,"November 2, 2020"
FEDERAL PRISON IN LOMPOC,0,1026,1023,0,3,"November 2, 2020"
CITY OF SANTA MARIA,1,4182,4084,26,72,"November 2, 2020"
COMMUNITY OF ORCUTT,0,381,369,6,6,"November 2, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,464,454,4,6,"November 2, 2020"
Out of County,,,0,0,0,"November 2, 2020"
Pending,0,378,372,6,,"November 2, 2020"
Total**,15,9992,9760,103,129,"November 2, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,215,207,1,7,"October 30, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,6,1280,1256,11,13,"October 30, 2020"
CITY OF GOLETA,2,283,275,4,4,"October 30, 2020"
COMMUNITY OF ISLA VISTA,0,397,370,26,1,"October 30, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,221,215,4,2,"October 30, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,184,173,4,7,"October 30, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,2,947,918,21,8,"October 30, 2020"
FEDERAL PRISON IN LOMPOC,0,1026,1023,0,3,"October 30, 2020"
CITY OF SANTA MARIA,10,4174,4058,44,72,"October 30, 2020"
COMMUNITY OF ORCUTT,1,380,362,13,5,"October 30, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",1,461,453,2,6,"October 30, 2020"
Out of County,,,0,0,0,"October 30, 2020"
Pending,3,376,369,7,,"October 30, 2020"
Total**,26,9944,9679,137,128,"October 30, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,214,206,1,7,"October 29, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1,1275,1256,6,13,"October 29, 2020"
CITY OF GOLETA,0,281,274,3,4,"October 29, 2020"
COMMUNITY OF ISLA VISTA,0,397,360,36,1,"October 29, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,7,221,215,4,2,"October 29, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,184,173,4,7,"October 29, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,5,945,916,21,8,"October 29, 2020"
FEDERAL PRISON IN LOMPOC,0,1026,1023,0,3,"October 29, 2020"
CITY OF SANTA MARIA,11,4164,4054,40,70,"October 29, 2020"
COMMUNITY OF ORCUTT,2,379,359,15,5,"October 29, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,460,453,1,6,"October 29, 2020"
Out of County,,,0,0,0,"October 29, 2020"
Pending,6,373,366,7,,"October 29, 2020"
Total**,33,9919,9655,138,126,"October 29, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,214,205,2,7,"October 28, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1,1274,1254,7,13,"October 28, 2020"
CITY OF GOLETA,1,281,274,3,4,"October 28, 2020"
COMMUNITY OF ISLA VISTA,9,358,316,41,1,"October 28, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,221,215,4,2,"October 28, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,183,173,3,7,"October 28, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,1,940,915,17,8,"October 28, 2020"
FEDERAL PRISON IN LOMPOC,0,1026,1023,0,3,"October 28, 2020"
CITY OF SANTA MARIA,7,4153,4041,42,70,"October 28, 2020"
COMMUNITY OF ORCUTT,1,377,358,14,5,"October 28, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,460,452,2,6,"October 28, 2020"
Out of County,,,0,0,0,"October 28, 2020"
Pending,1,399,386,13,,"October 28, 2020"
Total**,23,9886,9612,148,126,"October 28, 2020"
